Title                                                           02.12.2022 08:56
________________________________________________________________________________

Title
Evaluation Categories:

Curve Name:
  !&BBImp_22_03_04
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]        [Wg^-1]
              0              0       -19.9908            -20      0.0533508
              1              1       -19.8229       -19.8333      0.0606658
              2              2       -19.6559       -19.6667      0.0623075
              3              3       -19.4899          -19.5      0.0586808
              4              4       -19.3258       -19.3333      0.0435299
              5              5       -19.1623       -19.1667      0.0250064
              6              6       -18.9992            -19     0.00433966
              7              7       -18.8363       -18.8333     -0.0172972
              8              8       -18.6735       -18.6667     -0.0391662
              9              9       -18.5104          -18.5     -0.0597123
             10             10        -18.347       -18.3333     -0.0785894
             11             11       -18.1835       -18.1667      -0.096342
             12             12       -18.0194            -18      -0.111088
             13             13        -17.855       -17.8333        -0.1241
             14             14       -17.6905       -17.6667      -0.135908
             15             15       -17.5258          -17.5      -0.146931
             16             16       -17.3608       -17.3333       -0.15642
             17             17       -17.1957       -17.1667       -0.16482
             18             18       -17.0303            -17      -0.172224
             19             19       -16.8649       -16.8333      -0.179077
             20             20       -16.6993       -16.6667      -0.184554
             21             21       -16.5335          -16.5      -0.189559
             22             22       -16.3677       -16.3333      -0.193956
             23             23       -16.2018       -16.1667      -0.198173
             24             24       -16.0358            -16      -0.201271
             25             25       -15.8696       -15.8333      -0.204045
             26             26       -15.7035       -15.6667      -0.206669
             27             27       -15.5373          -15.5      -0.209076
             28             28        -15.371       -15.3333      -0.210798
             29             29       -15.2047       -15.1667      -0.212489
             30             30       -15.0384            -15      -0.214131
             31             31        -14.872       -14.8333      -0.215659
             32             32       -14.7056       -14.6667      -0.216889
             33             33       -14.5392          -14.5       -0.21784
             34             34       -14.3727       -14.3333       -0.21844
             35             35       -14.2062       -14.1667       -0.21927
             36             36       -14.0398            -14      -0.220105
             37             37       -13.8733       -13.8333      -0.220627
             38             38       -13.7067       -13.6667      -0.221054
             39             39       -13.5402          -13.5      -0.221507
             40             40       -13.3737       -13.3333       -0.22194
             41             41       -13.2072       -13.1667      -0.222399
             42             42       -13.0406            -13      -0.222765
             43             43        -12.874       -12.8333      -0.222864
             44             44       -12.7074       -12.6667      -0.222999
             45             45       -12.5409          -12.5      -0.223138
             46             46       -12.3742       -12.3333      -0.223171
             47             47       -12.2076       -12.1667      -0.222946
             48             48        -12.041            -12      -0.223187
