Title                                                           14.02.2022 14:36
________________________________________________________________________________

Title
Evaluation Categories:

Curve Name:
  !&]3[PETBT 1402
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]        [Wg^-1]
              0              0        20.0231             20      0.0978237
              1              1        20.1849        20.1667      0.0771376
              2              2        20.3467        20.3333      0.0563635
              3              3        20.5084           20.5      0.0353066
              4              4          20.67        20.6667      0.0139497
              5              5        20.8316        20.8333    -0.00743766
              6              6        20.9932             21     -0.0284311
              7              7        21.1551        21.1667     -0.0486759
              8              8        21.3175        21.3333     -0.0666483
              9              9        21.4801           21.5     -0.0835236
             10             10        21.6432        21.6667     -0.0984768
             11             11        21.8065        21.8333      -0.112187
             12             12        21.9705             22       -0.12342
             13             13        22.1348        22.1667      -0.133167
             14             14        22.2994        22.3333      -0.141525
             15             15        22.4643           22.5      -0.148692
             16             16        22.6296        22.6667      -0.154103
             17             17        22.7951        22.8333      -0.159091
             18             18        22.9607             23      -0.163075
             19             19        23.1265        23.1667      -0.166537
             20             20        23.2924        23.3333      -0.169532
             21             21        23.4585           23.5      -0.171946
             22             22        23.6246        23.6667      -0.173881
             23             23        23.7908        23.8333      -0.175744
             24             24        23.9572             24      -0.176638
             25             25        24.1236        24.1667      -0.177435
             26             26        24.2901        24.3333      -0.178064
             27             27        24.4566           24.5      -0.178568
             28             28        24.6231        24.6667      -0.178841
             29             29        24.7897        24.8333      -0.179124
             30             30        24.9563             25      -0.179306
             31             31        25.1228        25.1667      -0.179414
             32             32        25.2894        25.3333      -0.179522
             33             33         25.456           25.5       -0.17965
             34             34        25.6226        25.6667      -0.179693
             35             35        25.7893        25.8333      -0.179683
             36             36        25.9559             26      -0.179491
             37             37        26.1226        26.1667      -0.179323
             38             38        26.2892        26.3333      -0.179182
             39             39        26.4559           26.5      -0.179012
             40             40        26.6225        26.6667      -0.178923
             41             41        26.7892        26.8333      -0.178806
             42             42        26.9558             27      -0.178682
             43             43        27.1225        27.1667      -0.178555
             44             44        27.2892        27.3333      -0.178419
             45             45        27.4558           27.5      -0.178288
             46             46        27.6225        27.6667      -0.178159
             47             47        27.7891        27.8333      -0.178035
             48             48        27.9558             28      -0.177711
             49             49        28.1225        28.1667      -0.177281
             50             50        28.2892        28.3333      -0.177243
             51             51        28.4558           28.5      -0.176984
             52             52        28.6224        28.6667      -0.177134
             53             53         28.789        28.8333      -0.177188
             54             54        28.9556             29      -0.177223
             55             55        29.1222        29.1667      -0.177293
             56             56         29.289        29.3333      -0.176745
             57             57        29.4557           29.5      -0.176409
             58             58        29.6223        29.6667      -0.176412
             59             59         29.789        29.8333      -0.176117
             60             60        29.9557             30      -0.176078
             61             61        30.1223        30.1667      -0.175979
             62             62         30.289        30.3333      -0.175867
             63             63        30.4556           30.5      -0.175754
             64             64        30.6222        30.6667      -0.175661
             65             65        30.7889        30.8333      -0.175586
             66             66        30.9555             31      -0.175475
             67             67        31.1221        31.1667      -0.175602
             68             68        31.2888        31.3333      -0.175335
             69             69        31.4555           31.5      -0.174972
             70             70        31.6223        31.6667      -0.174548
             71             71         31.789        31.8333      -0.174098
             72             72        31.9557             32      -0.173927
             73             73        32.1222        32.1667      -0.174028
             74             74        32.2889        32.3333      -0.174084
             75             75        32.4555           32.5      -0.173856
             76             76        32.6222        32.6667      -0.173569
             77             77        32.7888        32.8333      -0.173764
             78             78        32.9554             33      -0.173846
             79             79        33.1221        33.1667      -0.173727
             80             80        33.2887        33.3333      -0.173606
             81             81        33.4553           33.5      -0.173568
             82             82         33.622        33.6667       -0.17351
             83             83        33.7886        33.8333      -0.173424
             84             84        33.9553             34       -0.17333
             85             85        34.1219        34.1667      -0.173267
             86             86        34.2885        34.3333      -0.173211
             87             87        34.4552           34.5       -0.17305
             88             88        34.6219        34.6667      -0.172858
             89             89        34.7885        34.8333      -0.172862
             90             90        34.9551             35      -0.172795
             91             91        35.1218        35.1667       -0.17273
             92             92        35.2884        35.3333      -0.172706
             93             93         35.455           35.5       -0.17266
             94             94        35.6217        35.6667      -0.172625
             95             95        35.7883        35.8333      -0.172616
             96             96        35.9549             36      -0.172605
             97             97        36.1215        36.1667       -0.17256
             98             98        36.2882        36.3333      -0.172589
             99             99        36.4548           36.5      -0.172366
            100            100        36.6214        36.6667      -0.172402
            101            101        36.7881        36.8333      -0.172381
            102            102        36.9547             37      -0.172324
            103            103        37.1213        37.1667      -0.172276
            104            104        37.2879        37.3333      -0.172435
            105            105        37.4545           37.5      -0.172414
            106            106        37.6212        37.6667      -0.172135
            107            107        37.7879        37.8333      -0.172138
            108            108        37.9545             38      -0.172202
            109            109        38.1211        38.1667      -0.172199
            110            110        38.2878        38.3333      -0.172036
            111            111        38.4544           38.5      -0.171944
            112            112         38.621        38.6667      -0.171922
            113            113        38.7877        38.8333      -0.171883
            114            114        38.9543             39      -0.171822
            115            115        39.1209        39.1667      -0.171767
            116            116        39.2876        39.3333      -0.171717
            117            117        39.4542           39.5      -0.171686
            118            118        39.6208        39.6667      -0.171646
            119            119        39.7875        39.8333      -0.171602
            120            120        39.9541             40      -0.171561
            121            121        40.1207        40.1667      -0.171511
            122            122        40.2874        40.3333      -0.171445
            123            123         40.454           40.5      -0.171384
