Index;t;Ts;Tr;Value
0;0;19.9877;20;-0.0446804
1;1;20.1525;20.1667;-0.0514291
2;2;20.3171;20.3333;-0.0589174
3;3;20.4815;20.5;-0.0668127
4;4;20.6457;20.6667;-0.0757171
5;5;20.8097;20.8333;-0.0853162
6;6;20.9735;21;-0.0956636
7;7;21.1372;21.1667;-0.10644
8;8;21.3006;21.3333;-0.117949
9;9;21.464;21.5;-0.129451
10;10;21.6275;21.6667;-0.140822
11;11;21.791;21.8333;-0.151941
12;12;21.9548;22;-0.162249
13;13;22.1187;22.1667;-0.172015
14;14;22.2827;22.3333;-0.181182
15;15;22.4469;22.5;-0.18994
16;16;22.6114;22.6667;-0.19742
17;17;22.7761;22.8333;-0.204493
18;18;22.9408;23;-0.210968
19;19;23.1057;23.1667;-0.217076
20;20;23.2708;23.3333;-0.222479
21;21;23.436;23.5;-0.22752
22;22;23.6014;23.6667;-0.232012
23;23;23.7668;23.8333;-0.2361
24;24;23.9324;24;-0.239766
25;25;24.098;24.1667;-0.243216
26;26;24.2637;24.3333;-0.246266
27;27;24.4295;24.5;-0.249195
28;28;24.5953;24.6667;-0.251863
29;29;24.7613;24.8333;-0.254224
30;30;24.9273;25;-0.25634
31;31;25.0933;25.1667;-0.2582
32;32;25.2595;25.3333;-0.259839
33;33;25.4256;25.5;-0.261376
34;34;25.5918;25.6667;-0.262801
35;35;25.758;25.8333;-0.264214
36;36;25.9243;26;-0.265378
37;37;26.0906;26.1667;-0.266329
38;38;26.2569;26.3333;-0.267243
39;39;26.4232;26.5;-0.268148
40;40;26.5896;26.6667;-0.269077
41;41;26.7559;26.8333;-0.269967
42;42;26.9223;27;-0.270594
43;43;27.0887;27.1667;-0.271173
44;44;27.2552;27.3333;-0.271735
45;45;27.4216;27.5;-0.272289
46;46;27.588;27.6667;-0.272786
47;47;27.7545;27.8333;-0.273244
48;48;27.921;28;-0.273643
49;49;28.0874;28.1667;-0.274058
50;50;28.2539;28.3333;-0.274458
51;51;28.4204;28.5;-0.274847
52;52;28.5869;28.6667;-0.275198
53;53;28.7534;28.8333;-0.275553
54;54;28.9199;29;-0.275901
55;55;29.0864;29.1667;-0.276215
56;56;29.2528;29.3333;-0.276533
57;57;29.4193;29.5;-0.276857
58;58;29.5858;29.6667;-0.277174
59;59;29.7523;29.8333;-0.277505
60;60;29.9188;30;-0.277797
61;61;30.0853;30.1667;-0.278093
62;62;30.2519;30.3333;-0.278352
