Index;t;Ts;Tr;Value
0;0;19.9958;20;-0.0177374
1;1;20.1622;20.1667;-0.0189464
2;2;20.3285;20.3333;-0.0205788
3;3;20.4946;20.5;-0.0227549
4;4;20.6602;20.6667;-0.0271033
5;5;20.8256;20.8333;-0.0325592
6;6;20.9907;21;-0.0392355
7;7;21.1556;21.1667;-0.0465306
8;8;21.3203;21.3333;-0.0546517
9;9;21.485;21.5;-0.0627056
10;10;21.6498;21.6667;-0.0705187
11;11;21.8147;21.8333;-0.0779541
12;12;21.9798;22;-0.0844297
13;13;22.145;22.1667;-0.0902985
14;14;22.3104;22.3333;-0.0954889
15;15;22.4759;22.5;-0.100328
16;16;22.6416;22.6667;-0.104128
17;17;22.8075;22.8333;-0.107419
18;18;22.9734;23;-0.110399
19;19;23.1394;23.1667;-0.113046
20;20;23.3056;23.3333;-0.114906
21;21;23.4718;23.5;-0.116602
22;22;23.6381;23.6667;-0.118066
23;23;23.8044;23.8333;-0.119363
24;24;23.9708;24;-0.120308
25;25;24.1373;24.1667;-0.120971
26;26;24.3038;24.3333;-0.121479
27;27;24.4704;24.5;-0.121883
28;28;24.637;24.6667;-0.122026
29;29;24.8036;24.8333;-0.122156
30;30;24.9702;25;-0.12223
31;31;25.1368;25.1667;-0.122275
32;32;25.3035;25.3333;-0.122171
33;33;25.4701;25.5;-0.122053
34;34;25.6368;25.6667;-0.121923
35;35;25.8035;25.8333;-0.121721
36;36;25.9702;26;-0.121412
37;37;26.1369;26.1667;-0.121154
38;38;26.3036;26.3333;-0.120892
39;39;26.4703;26.5;-0.120622
40;40;26.637;26.6667;-0.120337
41;41;26.8037;26.8333;-0.120056
42;42;26.9704;27;-0.119767
43;43;27.1371;27.1667;-0.119471
44;44;27.3038;27.3333;-0.119157
45;45;27.4705;27.5;-0.118843
46;46;27.6373;27.6667;-0.11853
47;47;27.804;27.8333;-0.118218
48;48;27.9707;28;-0.11791
49;49;28.1374;28.1667;-0.117608
50;50;28.3041;28.3333;-0.117312
51;51;28.4708;28.5;-0.117013
52;52;28.6375;28.6667;-0.116739
53;53;28.8042;28.8333;-0.116455
54;54;28.9709;29;-0.116179
55;55;29.1376;29.1667;-0.115907
56;56;29.3043;29.3333;-0.115634
57;57;29.471;29.5;-0.115367
58;58;29.6377;29.6667;-0.11511
59;59;29.8044;29.8333;-0.114854
60;60;29.9711;30;-0.114616
61;61;30.1378;30.1667;-0.114379
62;62;30.3045;30.3333;-0.114142
63;63;30.4712;30.5;-0.113913
64;64;30.6379;30.6667;-0.113692
65;65;30.8046;30.8333;-0.113488
66;66;30.9713;31;-0.11328
67;67;31.138;31.1667;-0.113071
68;68;31.3047;31.3333;-0.112864
69;69;31.4714;31.5;-0.112674
70;70;31.638;31.6667;-0.112484
